Close Price,Currency,Date,PermID
40.46,EUR,2013-11-20,5000039357
40.425,EUR,2013-11-21,5000039357
40.565,EUR,2013-11-22,5000039357
41.49,EUR,2013-11-25,5000039357
41.45,EUR,2013-11-26,5000039357
41.995,EUR,2013-11-27,5000039357
42.26,EUR,2013-11-28,5000039357
42.335,EUR,2013-11-29,5000039357
42.175,EUR,2013-12-02,5000039357
40.8,EUR,2013-12-03,5000039357
40.375,EUR,2013-12-04,5000039357
39.73,EUR,2013-12-05,5000039357
40.42,EUR,2013-12-06,5000039357
40.655,EUR,2013-12-09,5000039357
40.16,EUR,2013-12-10,5000039357
39.84,EUR,2013-12-11,5000039357
39.535,EUR,2013-12-12,5000039357
39.455,EUR,2013-12-13,5000039357
40.185,EUR,2013-12-16,5000039357
39.57,EUR,2013-12-17,5000039357
40.235,EUR,2013-12-18,5000039357
40.835,EUR,2013-12-19,5000039357
40.895,EUR,2013-12-20,5000039357
41.5,EUR,2013-12-23,5000039357
41.5,EUR,2013-12-24,5000039357
42.005,EUR,2013-12-27,5000039357
42.1,EUR,2013-12-30,5000039357
42.22,EUR,2013-12-31,5000039357
41.52,EUR,2014-01-02,5000039357
41.325,EUR,2014-01-03,5000039357
41.71,EUR,2014-01-06,5000039357
43.39,EUR,2014-01-07,5000039357
44.68,EUR,2014-01-08,5000039357
44.57,EUR,2014-01-09,5000039357
44.0,EUR,2014-01-10,5000039357
44.945,EUR,2014-01-13,5000039357
44.61,EUR,2014-01-14,5000039357
46.23,EUR,2014-01-15,5000039357
45.19,EUR,2014-01-16,5000039357
44.85,EUR,2014-01-17,5000039357
44.4,EUR,2014-01-20,5000039357
44.55,EUR,2014-01-21,5000039357
44.63,EUR,2014-01-22,5000039357
44.48,EUR,2014-01-23,5000039357
42.8,EUR,2014-01-24,5000039357
42.815,EUR,2014-01-27,5000039357
43.425,EUR,2014-01-28,5000039357
43.235,EUR,2014-01-29,5000039357
42.93,EUR,2014-01-30,5000039357
42.08,EUR,2014-01-31,5000039357
40.98,EUR,2014-02-03,5000039357
42.225,EUR,2014-02-04,5000039357
42.62,EUR,2014-02-05,5000039357
43.56,EUR,2014-02-06,5000039357
43.895,EUR,2014-02-07,5000039357
43.925,EUR,2014-02-10,5000039357
44.265,EUR,2014-02-11,5000039357
46.35,EUR,2014-02-12,5000039357
46.77,EUR,2014-02-13,5000039357
47.2,EUR,2014-02-14,5000039357
47.155,EUR,2014-02-17,5000039357
47.08,EUR,2014-02-18,5000039357
46.8,EUR,2014-02-19,5000039357
46.72,EUR,2014-02-20,5000039357
47.29,EUR,2014-02-21,5000039357
47.95,EUR,2014-02-24,5000039357
47.535,EUR,2014-02-25,5000039357
47.86,EUR,2014-02-26,5000039357
48.2,EUR,2014-02-27,5000039357
48.375,EUR,2014-02-28,5000039357
45.75,EUR,2014-03-03,5000039357
47.3,EUR,2014-03-04,5000039357
47.68,EUR,2014-03-05,5000039357
47.505,EUR,2014-03-06,5000039357
46.91,EUR,2014-03-07,5000039357
47.025,EUR,2014-03-10,5000039357
46.45,EUR,2014-03-11,5000039357
46.005,EUR,2014-03-12,5000039357
44.985,EUR,2014-03-13,5000039357
44.0,EUR,2014-03-14,5000039357
44.34,EUR,2014-03-17,5000039357
45.045,EUR,2014-03-18,5000039357
44.89,EUR,2014-03-19,5000039357
45.275,EUR,2014-03-20,5000039357
44.705,EUR,2014-03-21,5000039357
43.42,EUR,2014-03-24,5000039357
43.74,EUR,2014-03-25,5000039357
44.275,EUR,2014-03-26,5000039357
43.965,EUR,2014-03-27,5000039357
44.555,EUR,2014-03-28,5000039357
44.705,EUR,2014-03-31,5000039357
46.67,EUR,2014-04-01,5000039357
46.85,EUR,2014-04-02,5000039357
47.39,EUR,2014-04-03,5000039357
47.645,EUR,2014-04-04,5000039357
46.32,EUR,2014-04-07,5000039357
45.525,EUR,2014-04-08,5000039357
45.09,EUR,2014-04-09,5000039357
44.375,EUR,2014-04-10,5000039357
43.76,EUR,2014-04-11,5000039357
43.055,EUR,2014-04-14,5000039357
42.03,EUR,2014-04-15,5000039357
42.655,EUR,2014-04-16,5000039357
43.195,EUR,2014-04-17,5000039357
44.025,EUR,2014-04-22,5000039357
43.845,EUR,2014-04-23,5000039357
44.05,EUR,2014-04-24,5000039357
43.2,EUR,2014-04-25,5000039357
43.2,EUR,2014-04-28,5000039357
45.1,EUR,2014-04-29,5000039357
44.8,EUR,2014-04-30,5000039357
44.935,EUR,2014-05-02,5000039357
44.435,EUR,2014-05-05,5000039357
43.875,EUR,2014-05-06,5000039357
43.515,EUR,2014-05-07,5000039357
44.845,EUR,2014-05-08,5000039357
44.15,EUR,2014-05-09,5000039357
44.32,EUR,2014-05-12,5000039357
43.91,EUR,2014-05-13,5000039357
43.19,EUR,2014-05-14,5000039357
42.01,EUR,2014-05-15,5000039357
41.655,EUR,2014-05-16,5000039357
40.96,EUR,2014-05-19,5000039357
41.435,EUR,2014-05-20,5000039357
42.265,EUR,2014-05-21,5000039357
42.13,EUR,2014-05-22,5000039357
42.375,EUR,2014-05-23,5000039357
43.13,EUR,2014-05-26,5000039357
42.42,EUR,2014-05-27,5000039357
43.035,EUR,2014-05-28,5000039357
43.2,EUR,2014-05-29,5000039357
42.265,EUR,2014-05-30,5000039357
42.11,EUR,2014-06-02,5000039357
41.96,EUR,2014-06-03,5000039357
41.965,EUR,2014-06-04,5000039357
43.005,EUR,2014-06-05,5000039357
44.38,EUR,2014-06-06,5000039357
44.615,EUR,2014-06-09,5000039357
44.315,EUR,2014-06-10,5000039357
43.155,EUR,2014-06-11,5000039357
42.635,EUR,2014-06-12,5000039357
42.185,EUR,2014-06-13,5000039357
41.65,EUR,2014-06-16,5000039357
41.8,EUR,2014-06-17,5000039357
41.45,EUR,2014-06-18,5000039357
41.87,EUR,2014-06-19,5000039357
40.87,EUR,2014-06-20,5000039357
40.7,EUR,2014-06-23,5000039357
40.33,EUR,2014-06-24,5000039357
39.88,EUR,2014-06-25,5000039357
39.35,EUR,2014-06-26,5000039357
38.985,EUR,2014-06-27,5000039357
38.255,EUR,2014-06-30,5000039357
39.315,EUR,2014-07-01,5000039357
39.225,EUR,2014-07-02,5000039357
40.18,EUR,2014-07-03,5000039357
39.205,EUR,2014-07-04,5000039357
38.825,EUR,2014-07-07,5000039357
37.86,EUR,2014-07-08,5000039357
37.5,EUR,2014-07-09,5000039357
36.695,EUR,2014-07-10,5000039357
36.82,EUR,2014-07-11,5000039357
37.305,EUR,2014-07-14,5000039357
36.925,EUR,2014-07-15,5000039357
38.035,EUR,2014-07-16,5000039357
37.73,EUR,2014-07-17,5000039357
38.01,EUR,2014-07-18,5000039357
37.495,EUR,2014-07-21,5000039357
37.85,EUR,2014-07-22,5000039357
38.025,EUR,2014-07-23,5000039357
39.1,EUR,2014-07-24,5000039357
38.645,EUR,2014-07-25,5000039357
38.535,EUR,2014-07-28,5000039357
39.06,EUR,2014-07-29,5000039357
38.535,EUR,2014-07-30,5000039357
37.555,EUR,2014-07-31,5000039357
36.84,EUR,2014-08-01,5000039357
36.955,EUR,2014-08-04,5000039357
36.455,EUR,2014-08-05,5000039357
35.78,EUR,2014-08-06,5000039357
35.41,EUR,2014-08-07,5000039357
35.59,EUR,2014-08-08,5000039357
35.675,EUR,2014-08-11,5000039357
35.575,EUR,2014-08-12,5000039357
