RIC,Month,Year,Credit_spread
05531FBB8=,10,2022,0.00636
05531FBB8=,11,2022,0.007859999999999999
05531FBB8=,12,2022,0.0059900000000000005
05531FBB8=,1,2023,0.00349
05531FBB8=,2,2023,0.0007800000000000001
05531FBB8=,3,2023,0.001455
05531FBB8=,4,2023,0.01207
05531FBB8=,5,2023,0.01081
05531FBB8=,6,2023,0.01105
05531FBB8=,7,2023,0.009245
05531FBE2=,6,2018,0.0104
05531FBE2=,7,2018,0.009475
05531FBE2=,8,2018,0.00835
05531FBE2=,9,2018,0.00869
05531FBE2=,10,2018,0.007719999999999999
05531FBE2=,11,2018,0.008150000000000001
05531FBE2=,12,2018,0.00935
05531FBE2=,1,2019,0.0101
05531FBE2=,2,2019,0.008575
05531FBE2=,3,2019,0.007520000000000001
05531FBE2=,4,2019,0.00793
05531FBE2=,5,2019,0.007
05531FBE2=,6,2019,0.00807
05531FBE2=,7,2019,0.00702
05531FBE2=,8,2019,0.00672
05531FBE2=,9,2019,0.00811
05531FBE2=,10,2019,0.007980000000000001
05531FBE2=,11,2019,0.00729
05531FBE2=,12,2019,0.00707
05531FBE2=,1,2020,0.0049
05531FBE2=,2,2020,0.00535
05531FBE2=,3,2020,0.00757
05531FBE2=,4,2020,0.02187
05531FBE2=,5,2020,0.012465
05531FBE2=,6,2020,0.009559999999999999
05531FBE2=,7,2020,0.00697
05531FBE2=,8,2020,0.00465
05531FBE2=,9,2020,0.00467
05531FBE2=,10,2020,0.00515
05531FBE2=,11,2020,0.00613
05531FBE2=,12,2020,0.00422
05531FBE2=,1,2021,0.0047
05531FBE2=,2,2021,0.0046
05531FBE2=,3,2021,0.005085
05531FBE2=,4,2021,0.00677
05531FBE2=,5,2021,0.00563
05531FBE2=,6,2021,0.0044
05531FBE2=,7,2021,0.003935
05531FBE2=,8,2021,0.00407
05531FBE2=,9,2021,0.0032199999999999998
05531FBE2=,10,2021,0.0041
05531FBE2=,11,2021,0.00336
05531FBE2=,12,2021,0.00424
05531FBE2=,1,2022,0.00379
05531FBE2=,2,2022,0.00537
05531FBE2=,3,2022,0.00615
05531FBE2=,4,2022,0.006165
