RIC,Year,Month,Prev Bond Rating,Correct Bond Rating,Pred Bond Rating,Correct Credit Migration,Pred Credit Migration,Probability of Migration
693475AX3=,2023.0,8,7.0,7.0,6.0,0.0,-1.0,0.5507042253521127
693475AY1=,2023.0,8,7.0,7.0,6.0,0.0,-1.0,0.5943661971830987
693475AZ8=,2023.0,8,7.0,7.0,6.0,0.0,-1.0,0.5661971830985916
693475BB0=,2023.0,8,7.0,7.0,6.0,0.0,-1.0,0.5661971830985916
7591EPAQ3=,2023.0,8,6.0,6.0,9.0,0.0,3.0,0.5661971830985916
7591EPAT7=,2023.0,8,6.0,6.0,9.0,0.0,3.0,0.5521126760563381
780097BA8=,2023.0,8,8.0,8.0,7.0,0.0,-1.0,0.5380281690140845
780097BD2=,2023.0,8,8.0,8.0,7.0,0.0,-1.0,0.5098591549295775
78014RBQ2=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5507042253521127
78014RFF2=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.5788732394366198
78014RFS4=,2023.0,8,2.0,2.0,4.0,0.0,2.0,0.5802816901408452
78014RFT2=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.5507042253521127
78014RGB0=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.5366197183098592
78014RGC8=,2023.0,8,1.0,1.0,4.0,0.0,3.0,0.5366197183098592
78014RGD6=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.5633802816901409
78014RGE4=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.6056338028169014
78014RGL8=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.5211267605633803
78014RHN3=,2023.0,8,2.0,2.0,5.0,0.0,3.0,0.5225352112676056
78014RJA9=,2023.0,8,2.0,2.0,5.0,0.0,3.0,0.5943661971830987
78014RJF8=,2023.0,8,2.0,2.0,5.0,0.0,3.0,0.5084507042253521
78014RJG6=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.5774647887323944
78014RJS0=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.5211267605633803
78014RKA7=,2023.0,8,2.0,2.0,5.0,0.0,3.0,0.5225352112676056
78014RKE9=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.5929577464788732
853254AX8=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5788732394366198
86562MAC4=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.5211267605633803
86562MAF7=,2023.0,8,8.0,8.0,5.0,0.0,-3.0,0.647887323943662
86562MAK6=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.9295774647887325
86562MAN0=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.915492957746479
86562MAR1=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.9718309859154929
86562MAV2=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.915492957746479
86562MAY6=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.9014084507042254
86562MBC3=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.943661971830986
86562MBF6=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.9295774647887325
86562MBG4=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.943661971830986
86562MBM1=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.915492957746479
86562MBP4=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.8873239436619719
86562MBT6=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.8873239436619719
86562MBU3=,2023.0,8,8.0,8.0,5.0,0.0,-3.0,0.6338028169014085
86562MBV1=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.8873239436619719
86562MBW9=,2023.0,8,8.0,8.0,5.0,0.0,-3.0,0.6619718309859155
86562MCB4=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.8309859154929577
86562MCC2=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.8873239436619719
86562MCD0=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.9014084507042254
86562MCE8=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.8732394366197184
86562MCF5=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.8732394366197184
86562MCG3=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.9014084507042254
86562MCH1=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.8873239436619719
86562MCJ7=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.8732394366197184
867914BS1=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.6056338028169014
89114QCA4=,2023.0,8,3.0,3.0,4.0,0.0,1.0,0.5802816901408452
89114QCB2=,2023.0,8,3.0,3.0,3.0,0.0,0.0,0.5802816901408452
89114QCH9=,2023.0,8,3.0,3.0,4.0,0.0,1.0,0.5929577464788732
89114QCJ5=,2023.0,8,3.0,3.0,4.0,0.0,1.0,0.5211267605633803
89114QCK2=,2023.0,8,3.0,3.0,4.0,0.0,1.0,0.5225352112676056
89114QCP1=,2023.0,8,3.0,3.0,4.0,0.0,1.0,0.5225352112676056
89114QCQ9=,2023.0,8,3.0,3.0,4.0,0.0,1.0,0.5943661971830987
89114R5B8=,2023.0,8,5.0,5.0,4.0,0.0,-1.0,0.6056338028169014
89114TZD7=,2023.0,8,3.0,3.0,4.0,0.0,1.0,0.5366197183098592
89114TZE5=,2023.0,8,3.0,3.0,5.0,0.0,2.0,0.5366197183098592
89114TZG0=,2023.0,8,3.0,3.0,4.0,0.0,1.0,0.5943661971830987
89114TZJ4=,2023.0,8,3.0,3.0,5.0,0.0,2.0,0.5366197183098592
89114TZK1=,2023.0,8,3.0,3.0,4.0,0.0,1.0,0.5521126760563381
89114TZL9=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.5070422535211268
89114TZN5=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.5070422535211268
89114TZQ8=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.5507042253521127
